ID	Positive_score	Negative_score	Content
1	2	2	Các bác có sao không? Vụ coccoc lấy thông tin người dùng e thấy sợ quá :) chắc xóa coccoc quá các bác ạ! Ai xài coc… https://t.co/7PIAhQPgQH
2	0	0	Cài đặt Google là trang chủ mặc định trên Coccoc và Chrome: https://t.co/VGeG4ROBCT via @YouTube
3	1	0	I added a video to a @YouTube playlist https://t.co/VGeG4ROBCT Cài đặt Google là trang chủ mặc định trên Coccoc và
4	3	1	Chia sẻ clip này đồng nghĩa với việc bạn đẫ ko đồng tình với những hành động sai trái của coccoc. https://t.co/hoY3hvpORM
5	0	1	Ngày xưa dùng IDM CRACK để download còn đéo lo ngại bằng việc dùng CocCoc bây giờ. Mặc dù mình cũng chỉ dùng CocCoc… https://t.co/JXfd5DfGbL
6	0	0	Từ trước đến này gặp ai cũng khuyên là #đừng_dùng #coccoc https://t.co/D4RYW0cids
7	0	0	Nên gỡ Coccoc đi. https://t.co/9wVYl5fGqK
8	1	0	Chia sẻ về vụ việc của coccoc,   Tôi trích dẫn một câu nói của dân công nghệ “Làm công nghệ làm an ninh mạng thì kh… https://t.co/CMHxjMiW1w
9	-1	0	CÓ hay KHÔNG? Không phải cứ nói là người ta tin. #congnghe #CốcCốc #theodõithôngtin https://t.co/i4Uig3A98m
10	1	0	Những ai đang dùng CocCoc xoá ngay + thay đổi password facebook. Nếu không mọi data của bạn sẽ bị khai thác để phục… https://t.co/Xu0kjVuyXM
11	0	1	Anh chị em nào dùng coccoc cẩn thận nha, mất dữ liệu như chơi https://t.co/vBoge9uT4Z
12	0	3	Từ xưa giờ đã rất quan ngại #Coccoc, nên méo bao giờ xài. 😑😑😑 https://t.co/RUqkRwBmin
13	0	0	dm coccoc anh bey bey đây https://t.co/Hfc4ujIChz
14	0	0	Tôi đã thêm video vào danh sách phát https://t.co/pP6gyj9JOk Nguyễn Xuân Ngọc | Cách xử lý khi trình duyệt Coccoc
15	1	0	Tìm hiểu thêm thông tin về Cafe Phi Linh https://t.co/l1vwELR6kV
16	0	0	Từ trước đến này gặp ai cũng khuyên là #đừng_dùng #coccoc https://t.co/D4RYW0cids
17	-1	0	CÓ hay KHÔNG? Không phải cứ nói là người ta tin. #congnghe #CốcCốc #theodõithôngtin https://t.co/i4Uig3A98m
18	0	3	Từ xưa giờ đã rất quan ngại #Coccoc, nên méo bao giờ xài. 😑😑😑 https://t.co/RUqkRwBmin
19	0	0	Tn có chỗ nào cần người cài win máy tính kiểm thử crack phần mềm không :'( Cntt nhưng em không click tải apps hay offer
