ID	Positive_score	Negative_score	Content
1	0	0	Từ trước đến này gặp ai cũng khuyên là #đừng_dùng #coccoc https://t.co/D4RYW0cids
2	-1	0	CÓ hay KHÔNG? Không phải cứ nói là người ta tin. #congnghe #CốcCốc #theodõithôngtin https://t.co/i4Uig3A98m
3	0	3	Từ xưa giờ đã rất quan ngại #Coccoc, nên méo bao giờ xài. 😑😑😑 https://t.co/RUqkRwBmin
4	1	0	Sẽ mãi nhớ ngày hôm ấy 13/04/2018 - lần đầu chúng ta gặp nhau! Love 😍 #Bùi_Tiến_Dũng04 #Nguyễn_Trọng_Đại… https://t.co/qNKv9McAkF
5	2	0	Kết thúc hiệp 1 Bình Định đang dẫn trước Viettel 1 - 0 🎉🇻🇳  Ghi bàn: Quốc Nhật (6)  #cupquocgia2018 #binhdinh… https://t.co/2s7d74kB6z
6	0	1	Cái lò của Lú đang nóng tại Đà Nẵng https://t.co/zhsF3vI3F5 #vietnam #hanoi #hcmc #saigon #blogger #news #freeMeNam
7	0	0	Beautiful  truc bạch lake with fog in the morning .#hanoi #lake #fog #earlytour tại Hanoi https://t.co/pRwXLwVLIV
8	1	0	Kiến thức miễn phí, lấy bao nhiêu tuỳ bạn #VietNam #Health #Education #BVMT #Hanoi #Saigon #HoChiMinhCity https://t.co/pWE8PjpHI6
9	1	0	cập nhật bảng giá sắt thép xây dựng hôm nay thị trường Đài Loan tháng 4/2018 #thudaumot #vietnam #vietnamese #hcmc… https://t.co/s9HlGacYfr
10	2	0	Những tác phẩm được làm bằng nước..............💧💧💧 #nước #Đẹp #thích #Sàigon #Hanoi #Vietnamese #Vietnam https://t.co/G5569tHYp3
11	7	0	cung cấp giáo viên nước ngoài, cung cấp giáo viên bản ngữ, cung cấp giáo viên tiếng anh, chia sẻ video: Ôn thi THPT… https://t.co/C80VgTfFAh
12	4	0	cung cấp giáo viên nước ngoài chia sẻ video [TRỰC TUYẾN] Thi THPT quốc gia: Chiến lược chọn bài thi để tăng cơ hội… https://t.co/riDZeTBbsG
13	1	0	Chưa xác định được bé này ngã từ tầng mấy xuống sân trường và vì sao lại ngã.  #giaoduc #họcsinh #hônmê #HàNội https://t.co/1du5Iz1mPj
14	0	0	Starting for business #hanoi #wholesalemarkettour #homecookingclass  https://t.co/lUe6bJlwFf tại Hanoi https://t.co/E61SikeGdd
15	3	0	Hàng xóm của AOF  to và đẹp quá :)) #HUMG #Hanoi #Vietnam https://t.co/l7hsR1hq80
16	0	0	Fresh and super fresh #hanoi #streetfoodtour  https://t.co/lUe6bJlwFf tại Hanoi https://t.co/lDD5S6fsw8
17	1	0	Kiến thức miễn phí, lấy bao nhiêu tuỳ bạn #VietNam #Health #Education #BVMT #Hanoi #Saigon #HoChiMinhCity https://t.co/D52nIwNWek
18	2	0	Tăng cường đàn áp không dập tắt được phong trào đấu tranh đòi dân chủ dân sinh https://t.co/tDxaJ42vvI #vietnam… https://t.co/INjRczz1ye
19	0	0	Bịt miệng hết thảy!!! https://t.co/VVbv9z4D4Z #vietnam #hanoi #hcmc #saigon #blogger #news #freeMeNam
20	1	0	Nguồn gốc Bản Quốc Ca Việt Nam Cộng Hòa https://t.co/WUVvRB48jG #vietnam #hanoi #hcmc #saigon #blogger #news #freeMeNam
21	0	0	Những con mắt bị “đục tinh thể” https://t.co/SYYiymi3Ct #vietnam #hanoi #hcmc #saigon #blogger #news #freeMeNam
